dataset,classifier,technique,category,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,mcc_mean,mcc_std,stat_parity_diff_mean,stat_parity_diff_std,eq_odds_diff_mean,eq_odds_diff_std,eq_opp_diff_mean,eq_opp_diff_std,disparate_impact_mean,disparate_impact_std
Adult,LogReg,Baseline,none,0.8484,0.003,0.6661,0.0052,0.9036,0.0036,0.573,0.008,-0.137,0.0111,-0.0926,0.0283,-0.1331,0.05,0.378,0.0402
Adult,LogReg,CalibratedEqOdds,post,0.8228,0.0013,0.5568,0.0153,0.8488,0.0038,0.4748,0.0101,-0.0772,0.0133,0.0025,0.033,0.0359,0.0618,0.5201,0.0595
Adult,LogReg,DisparateImpactRemover,pre,0.8479,0.0022,0.672,0.0108,0.9027,0.0036,0.5766,0.0072,-0.1494,0.0236,-0.1066,0.0408,-0.1514,0.0661,0.3568,0.0509
Adult,LogReg,RejectOption,post,0.7988,0.0053,0.6754,0.0047,0.9036,0.0036,0.5615,0.007,-0.0518,0.009,0.0593,0.0024,0.0902,0.01,0.863,0.0219
Adult,LogReg,Reweighing,pre,0.8465,0.003,0.661,0.005,0.9018,0.0035,0.5671,0.0076,-0.0737,0.0119,0.0314,0.0285,0.0734,0.0501,0.6535,0.0529
Adult,MLP,Baseline,none,0.8498,0.0047,0.6692,0.013,0.907,0.0046,0.577,0.0155,-0.1354,0.0097,-0.0927,0.0241,-0.1364,0.0427,0.3846,0.0452
Adult,MLP,CalibratedEqOdds,post,0.8288,0.0108,0.5817,0.0482,0.8652,0.0213,0.4968,0.0434,-0.0875,0.012,-0.0162,0.0192,0.0001,0.0412,0.492,0.0237
Adult,MLP,DisparateImpactRemover,pre,0.8496,0.003,0.6771,0.0095,0.9062,0.0041,0.5825,0.0057,-0.1551,0.026,-0.1234,0.0375,-0.1846,0.058,0.3404,0.0527
Adult,MLP,RejectOption,post,0.8032,0.0049,0.6802,0.0072,0.907,0.0046,0.5682,0.0086,-0.0524,0.0076,0.0594,0.0018,0.0901,0.0091,0.8597,0.02
Adult,MLP,Reweighing,pre,0.8514,0.0019,0.6715,0.0042,0.9079,0.0027,0.5809,0.005,-0.0699,0.002,0.0437,0.0027,0.0946,0.0125,0.67,0.0136
Adult,PR-LogReg,PrejudiceRemover,in,0.8477,0.0026,0.6648,0.0044,0.9036,0.0037,0.5712,0.007,-0.1339,0.0097,-0.0953,0.024,-0.1435,0.0441,0.3919,0.0346
Adult,RandomForest,Baseline,none,0.847,0.0034,0.6741,0.0039,0.8953,0.0033,0.5761,0.0066,-0.1351,0.0045,-0.0606,0.005,-0.0638,0.0144,0.4259,0.0109
Adult,RandomForest,CalibratedEqOdds,post,0.8468,0.0034,0.6734,0.004,0.8951,0.0033,0.5753,0.0067,-0.1348,0.0044,-0.06,0.0052,-0.0626,0.0151,0.4265,0.0106
Adult,RandomForest,DisparateImpactRemover,pre,0.8345,0.0081,0.6432,0.0171,0.8874,0.0065,0.5389,0.0221,-0.1413,0.0153,-0.0881,0.0227,-0.1123,0.042,0.3881,0.0182
Adult,RandomForest,RejectOption,post,0.8207,0.0039,0.6694,0.0021,0.8953,0.0033,0.5516,0.0045,0.0575,0.0348,0.1782,0.0265,0.2296,0.0211,1.2015,0.1266
Adult,RandomForest,Reweighing,pre,0.8472,0.0046,0.6728,0.006,0.8958,0.0035,0.5754,0.0097,-0.1323,0.0034,-0.0589,0.0063,-0.0632,0.0165,0.4311,0.0044
Adult,XGBoost,Baseline,none,0.8712,0.0033,0.7183,0.0051,0.9284,0.0034,0.6392,0.0075,-0.1405,0.0133,-0.0823,0.02,-0.1166,0.0352,0.3735,0.0354
Adult,XGBoost,CalibratedEqOdds,post,0.8574,0.004,0.6712,0.0057,0.9088,0.0041,0.5921,0.0089,-0.1142,0.0127,-0.0388,0.0179,-0.0371,0.0315,0.4233,0.04
Adult,XGBoost,DisparateImpactRemover,pre,0.8578,0.0098,0.6889,0.0242,0.9111,0.0135,0.6012,0.0299,-0.145,0.0107,-0.1111,0.0336,-0.1713,0.07,0.3541,0.0197
Adult,XGBoost,RejectOption,post,0.8268,0.0049,0.7114,0.0046,0.9284,0.0034,0.612,0.0074,-0.043,0.016,0.0719,0.0115,0.0987,0.0125,0.8797,0.0446
Adult,XGBoost,Reweighing,pre,0.8707,0.0033,0.7161,0.0045,0.9279,0.0035,0.6374,0.0073,-0.0878,0.0066,0.0206,0.0026,0.054,0.0032,0.5948,0.0175
COMPAS,LogReg,Baseline,none,0.6791,0.0123,0.7143,0.0093,0.7285,0.0073,0.3547,0.0253,-0.2778,0.0332,-0.2387,0.0383,-0.1778,0.0293,0.6366,0.0388
COMPAS,LogReg,CalibratedEqOdds,post,0.6555,0.0075,0.7171,0.0068,0.6823,0.0056,0.3145,0.0108,-0.5141,0.025,-0.5028,0.0261,-0.3212,0.013,0.4859,0.025
COMPAS,LogReg,DisparateImpactRemover,pre,0.6831,0.0127,0.7217,0.0108,0.729,0.0072,0.3636,0.0247,-0.2406,0.0227,-0.1993,0.0222,-0.1434,0.0248,0.6818,0.0329
COMPAS,LogReg,RejectOption,post,0.6629,0.0188,0.6941,0.0149,0.7285,0.0073,0.3214,0.039,-0.0226,0.0283,0.0195,0.0341,0.0607,0.037,0.963,0.047
COMPAS,LogReg,Reweighing,pre,0.6559,0.0142,0.6968,0.0113,0.7154,0.0091,0.3075,0.0295,0.0213,0.026,0.0635,0.0302,0.0907,0.0309,1.0373,0.0466
COMPAS,MLP,Baseline,none,0.6774,0.0029,0.7131,0.0037,0.7306,0.0043,0.3517,0.0064,-0.2914,0.0357,-0.2526,0.0453,-0.1918,0.0299,0.6237,0.0327
COMPAS,MLP,CalibratedEqOdds,post,0.6541,0.0044,0.7153,0.0043,0.6837,0.0047,0.3113,0.0012,-0.5186,0.01,-0.5073,0.0163,-0.3282,0.0122,0.4814,0.01
COMPAS,MLP,DisparateImpactRemover,pre,0.6641,0.0017,0.7178,0.004,0.7101,0.0167,0.33,0.0105,-0.255,0.0957,-0.2213,0.1019,-0.1553,0.0877,0.691,0.1062
COMPAS,MLP,RejectOption,post,0.6637,0.0078,0.7049,0.0196,0.7306,0.0043,0.3255,0.0188,-0.0221,0.0572,0.0215,0.0524,0.0493,0.0321,0.9627,0.091
COMPAS,MLP,Reweighing,pre,0.6597,0.0083,0.7035,0.009,0.7157,0.0092,0.3157,0.0194,-0.0196,0.0181,0.0228,0.0271,0.0528,0.0232,0.9697,0.0264
COMPAS,PR-LogReg,PrejudiceRemover,in,0.6271,0.041,0.6846,0.0474,0.6632,0.0469,0.2539,0.0898,-0.0948,0.1143,-0.0728,0.0883,0.0354,0.1847,0.8843,0.1546
COMPAS,RandomForest,Baseline,none,0.6313,0.0033,0.6507,0.0036,0.6781,0.0146,0.2603,0.0074,-0.1615,0.0258,-0.1294,0.0294,-0.1,0.0208,0.7426,0.0337
COMPAS,RandomForest,CalibratedEqOdds,post,0.6322,0.0022,0.6661,0.0028,0.6681,0.0125,0.2594,0.007,-0.2781,0.0332,-0.252,0.0406,-0.1965,0.0259,0.6261,0.0307
COMPAS,RandomForest,DisparateImpactRemover,pre,0.6193,0.0023,0.6442,0.0043,0.6638,0.0069,0.2354,0.0039,-0.1481,0.0305,-0.1189,0.0284,-0.0967,0.0164,0.7667,0.0386
COMPAS,RandomForest,RejectOption,post,0.6235,0.0084,0.6419,0.0034,0.6781,0.0146,0.245,0.0179,-0.0361,0.008,-0.0021,0.0152,0.0185,0.0222,0.9338,0.0142
COMPAS,RandomForest,Reweighing,pre,0.6309,0.0063,0.6566,0.0029,0.674,0.015,0.2581,0.0144,-0.089,0.018,-0.0557,0.0216,-0.0263,0.0166,0.8524,0.0265
COMPAS,XGBoost,Baseline,none,0.6711,0.0124,0.7049,0.0129,0.7162,0.0144,0.338,0.0259,-0.2441,0.0237,-0.2036,0.0315,-0.1725,0.0028,0.6685,0.0162
COMPAS,XGBoost,CalibratedEqOdds,post,0.6486,0.0065,0.7088,0.0093,0.6745,0.0031,0.2981,0.0085,-0.4748,0.0335,-0.4602,0.0394,-0.3141,0.0204,0.5087,0.0205
COMPAS,XGBoost,DisparateImpactRemover,pre,0.6656,0.0077,0.7082,0.0068,0.7129,0.0085,0.3279,0.0186,-0.184,0.0458,-0.145,0.0381,-0.1059,0.0482,0.7481,0.0607
COMPAS,XGBoost,RejectOption,post,0.6395,0.0141,0.6394,0.0627,0.7162,0.0144,0.2875,0.0184,-0.0338,0.0306,0.0038,0.0264,0.0325,0.0167,0.9227,0.0686
COMPAS,XGBoost,Reweighing,pre,0.6608,0.0186,0.6952,0.0179,0.7081,0.0177,0.3172,0.0395,-0.0818,0.0197,-0.0396,0.0201,-0.0175,0.017,0.8711,0.0315
