dataset,seed,classifier,technique,category,accuracy,f1,auc,mcc,stat_parity_diff,eq_odds_diff,eq_opp_diff,disparate_impact
COMPAS,42,LogReg,Baseline,none,0.6793,0.709,0.736,0.3587,-0.2829,-0.2381,-0.1887,0.6246
COMPAS,42,LogReg,CalibratedEqOdds,post,0.6503,0.7093,0.6857,0.3115,-0.5294,-0.5124,-0.3333,0.4706
COMPAS,42,LogReg,RejectOption,post,0.666,0.6879,0.736,0.3308,0.0045,0.053,0.0939,1.0082
COMPAS,42,RandomForest,Baseline,none,0.6326,0.6473,0.6921,0.264,-0.1323,-0.0955,-0.0759,0.7809
COMPAS,42,RandomForest,CalibratedEqOdds,post,0.6345,0.664,0.6814,0.2673,-0.2448,-0.2123,-0.1723,0.6583
COMPAS,42,RandomForest,RejectOption,post,0.6332,0.6451,0.6921,0.2656,-0.0314,0.0072,0.0374,0.9414
COMPAS,42,XGBoost,Baseline,none,0.673,0.6971,0.7268,0.3449,-0.217,-0.1673,-0.1744,0.6864
COMPAS,42,XGBoost,CalibratedEqOdds,post,0.6414,0.6992,0.6771,0.2905,-0.4912,-0.472,-0.3368,0.4915
COMPAS,42,XGBoost,RejectOption,post,0.637,0.5987,0.7268,0.2884,-0.0408,0.0002,0.0289,0.9013
COMPAS,42,MLP,Baseline,none,0.6768,0.7114,0.7336,0.3549,-0.279,-0.2357,-0.1799,0.6371
COMPAS,42,MLP,CalibratedEqOdds,post,0.649,0.711,0.6833,0.3112,-0.5102,-0.4931,-0.3144,0.4898
COMPAS,42,MLP,RejectOption,post,0.6686,0.7019,0.7336,0.3375,-0.0423,0.0061,0.0394,0.9318
COMPAS,42,LogReg,Reweighing,pre,0.6566,0.6906,0.7187,0.3129,0.051,0.0984,0.1261,1.0905
COMPAS,42,RandomForest,Reweighing,pre,0.6376,0.6575,0.6878,0.2737,-0.0706,-0.0309,-0.0112,0.8791
COMPAS,42,XGBoost,Reweighing,pre,0.6742,0.6961,0.7185,0.3473,-0.0784,-0.0262,-0.0196,0.8699
COMPAS,42,MLP,Reweighing,pre,0.666,0.6972,0.7254,0.3318,-0.0129,0.0352,0.072,0.9782
COMPAS,42,LogReg,DisparateImpactRemover,pre,0.6799,0.7121,0.7341,0.3607,-0.2642,-0.2188,-0.1698,0.6486
COMPAS,42,RandomForest,DisparateImpactRemover,pre,0.6168,0.6402,0.6711,0.2317,-0.1502,-0.1179,-0.1107,0.7645
COMPAS,42,XGBoost,DisparateImpactRemover,pre,0.6723,0.7059,0.7227,0.3454,-0.2156,-0.1687,-0.1498,0.703
COMPAS,42,MLP,DisparateImpactRemover,pre,0.6648,0.7204,0.7273,0.3419,-0.148,-0.1052,-0.0595,0.808
COMPAS,42,PR-LogReg,PrejudiceRemover,in,0.6452,0.7051,0.6783,0.3006,-0.177,-0.1429,-0.0781,0.7765
Adult,42,LogReg,Baseline,none,0.8451,0.6604,0.9014,0.5638,-0.1497,-0.1253,-0.1902,0.3343
Adult,42,LogReg,CalibratedEqOdds,post,0.8222,0.5594,0.8514,0.4727,-0.0911,-0.0333,-0.0286,0.4522
Adult,42,LogReg,RejectOption,post,0.7962,0.672,0.9014,0.5581,-0.0611,0.0572,0.1008,0.8397
Adult,42,RandomForest,Baseline,none,0.8471,0.6737,0.8947,0.5755,-0.1369,-0.0593,-0.0564,0.4196
Adult,42,RandomForest,CalibratedEqOdds,post,0.8464,0.6717,0.8941,0.5732,-0.136,-0.0576,-0.0532,0.4213
Adult,42,RandomForest,RejectOption,post,0.8236,0.6717,0.8947,0.5559,0.0534,0.1718,0.2218,1.187
Adult,42,XGBoost,Baseline,none,0.8696,0.7126,0.9268,0.6328,-0.1385,-0.0892,-0.1322,0.3744
Adult,42,XGBoost,CalibratedEqOdds,post,0.8569,0.6657,0.9081,0.5879,-0.1101,-0.0433,-0.0502,0.4296
Adult,42,XGBoost,RejectOption,post,0.8274,0.7108,0.9268,0.6119,-0.0612,0.0607,0.0997,0.8285
Adult,42,MLP,Baseline,none,0.8445,0.6552,0.902,0.5599,-0.1463,-0.1186,-0.1775,0.3326
Adult,42,MLP,CalibratedEqOdds,post,0.8165,0.5285,0.8411,0.4484,-0.078,-0.0103,0.014,0.4833
Adult,42,MLP,RejectOption,post,0.7978,0.6728,0.902,0.5589,-0.0524,0.061,0.0978,0.8611
Adult,42,LogReg,Reweighing,pre,0.8438,0.6552,0.9002,0.5587,-0.0866,-0.0015,0.0165,0.5981
Adult,42,RandomForest,Reweighing,pre,0.8473,0.6727,0.8954,0.575,-0.1328,-0.0553,-0.0522,0.4309
Adult,42,XGBoost,Reweighing,pre,0.869,0.7112,0.926,0.6312,-0.087,0.0196,0.0539,0.5971
Adult,42,MLP,Reweighing,pre,0.8496,0.6678,0.906,0.5752,-0.0676,0.0421,0.0902,0.6834
Adult,42,LogReg,DisparateImpactRemover,pre,0.8457,0.6748,0.9006,0.5745,-0.1683,-0.1483,-0.224,0.3132
Adult,42,RandomForest,DisparateImpactRemover,pre,0.8363,0.6585,0.8895,0.5513,-0.1574,-0.1142,-0.155,0.3671
Adult,42,XGBoost,DisparateImpactRemover,pre,0.8633,0.7067,0.9183,0.6196,-0.1565,-0.1499,-0.2504,0.3355
Adult,42,MLP,DisparateImpactRemover,pre,0.8462,0.678,0.902,0.5776,-0.1786,-0.1655,-0.2515,0.2833
Adult,42,PR-LogReg,PrejudiceRemover,in,0.8448,0.66,0.9015,0.5631,-0.145,-0.1226,-0.1902,0.3551
COMPAS,7,LogReg,Baseline,none,0.6667,0.7089,0.7214,0.3276,-0.2423,-0.2008,-0.1446,0.68
COMPAS,7,LogReg,CalibratedEqOdds,post,0.6521,0.7202,0.6854,0.3056,-0.4852,-0.4733,-0.3075,0.5148
COMPAS,7,LogReg,RejectOption,post,0.6427,0.6834,0.7214,0.2785,-0.0204,0.0207,0.0674,0.9664
COMPAS,7,RandomForest,Baseline,none,0.6275,0.6505,0.663,0.2518,-0.1812,-0.1471,-0.1118,0.7173
COMPAS,7,RandomForest,CalibratedEqOdds,post,0.6301,0.6651,0.6565,0.2538,-0.2784,-0.2501,-0.1933,0.6229
