dataset,classifier,technique,category,accuracy,f1,auc,mcc,stat_parity_diff,eq_odds_diff,eq_opp_diff,disparate_impact
COMPAS,LogReg,Baseline,none,0.6793,0.709,0.736,0.3587,-0.2829,-0.2381,-0.1887,0.6246
COMPAS,LogReg,CalibratedEqOdds,post,0.6503,0.7093,0.6857,0.3115,-0.5294,-0.5124,-0.3333,0.4706
COMPAS,LogReg,RejectOption,post,0.666,0.6704,0.736,0.3324,0.0049,0.0539,0.0954,1.0098
COMPAS,RandomForest,Baseline,none,0.6326,0.6473,0.6921,0.264,-0.1323,-0.0955,-0.0759,0.7809
COMPAS,RandomForest,CalibratedEqOdds,post,0.6345,0.664,0.6814,0.2673,-0.2448,-0.2123,-0.1723,0.6583
COMPAS,RandomForest,RejectOption,post,0.6231,0.6266,0.6921,0.2468,-0.0433,-0.008,0.0226,0.9166
COMPAS,XGBoost,Baseline,none,0.673,0.6971,0.7268,0.3449,-0.217,-0.1673,-0.1744,0.6864
COMPAS,XGBoost,CalibratedEqOdds,post,0.6414,0.6992,0.6771,0.2905,-0.4912,-0.472,-0.3368,0.4915
COMPAS,XGBoost,RejectOption,post,0.6566,0.643,0.7268,0.3185,-0.087,-0.0405,-0.023,0.8252
COMPAS,MLP,Baseline,none,0.6768,0.7114,0.7336,0.3549,-0.279,-0.2357,-0.1799,0.6371
COMPAS,MLP,CalibratedEqOdds,post,0.649,0.711,0.6833,0.3112,-0.5102,-0.4931,-0.3144,0.4898
COMPAS,MLP,RejectOption,post,0.6673,0.6769,0.7336,0.334,-0.03,0.019,0.0549,0.9436
COMPAS,LogReg,Reweighing,pre,0.6566,0.6906,0.7187,0.3129,0.051,0.0984,0.1261,1.0905
COMPAS,RandomForest,Reweighing,pre,0.6376,0.6575,0.6878,0.2737,-0.0706,-0.0309,-0.0112,0.8791
COMPAS,XGBoost,Reweighing,pre,0.6742,0.6961,0.7185,0.3473,-0.0784,-0.0262,-0.0196,0.8699
COMPAS,MLP,Reweighing,pre,0.666,0.6972,0.7254,0.3318,-0.0129,0.0352,0.072,0.9782
COMPAS,PR-LogReg,PrejudiceRemover,in,0.6452,0.7051,0.6783,0.3006,-0.177,-0.1429,-0.0781,0.7765
Adult,LogReg,Baseline,none,0.8451,0.6604,0.9014,0.5638,-0.1497,-0.1253,-0.1902,0.3343
Adult,LogReg,CalibratedEqOdds,post,0.8222,0.5594,0.8514,0.4727,-0.0911,-0.0333,-0.0286,0.4522
Adult,LogReg,RejectOption,post,0.7996,0.6743,0.9014,0.5609,-0.059,0.0608,0.106,0.8429
Adult,RandomForest,Baseline,none,0.8471,0.6737,0.8947,0.5755,-0.1369,-0.0593,-0.0564,0.4196
Adult,RandomForest,CalibratedEqOdds,post,0.8464,0.6717,0.8941,0.5732,-0.136,-0.0576,-0.0532,0.4213
Adult,RandomForest,RejectOption,post,0.8273,0.6759,0.8947,0.5621,0.0073,0.1321,0.1905,1.0256
Adult,XGBoost,Baseline,none,0.8696,0.7126,0.9268,0.6328,-0.1385,-0.0892,-0.1322,0.3744
Adult,XGBoost,CalibratedEqOdds,post,0.8569,0.6657,0.9081,0.5879,-0.1101,-0.0433,-0.0502,0.4296
Adult,XGBoost,RejectOption,post,0.829,0.7123,0.9268,0.6139,-0.0747,0.0508,0.0947,0.7898
Adult,MLP,Baseline,none,0.8445,0.6552,0.902,0.5599,-0.1463,-0.1186,-0.1775,0.3326
Adult,MLP,CalibratedEqOdds,post,0.8165,0.5285,0.8411,0.4484,-0.078,-0.0103,0.014,0.4833
Adult,MLP,RejectOption,post,0.8015,0.676,0.902,0.563,-0.0603,0.0552,0.0945,0.8383
Adult,LogReg,Reweighing,pre,0.8438,0.6552,0.9002,0.5587,-0.0866,-0.0015,0.0165,0.5981
Adult,RandomForest,Reweighing,pre,0.8473,0.6727,0.8954,0.575,-0.1328,-0.0553,-0.0522,0.4309
Adult,XGBoost,Reweighing,pre,0.869,0.7112,0.926,0.6312,-0.087,0.0196,0.0539,0.5971
Adult,MLP,Reweighing,pre,0.8496,0.6678,0.906,0.5752,-0.0676,0.0421,0.0902,0.6834
Adult,PR-LogReg,PrejudiceRemover,in,0.8448,0.66,0.9015,0.5631,-0.145,-0.1226,-0.1902,0.3551
